All,הכל
"Could not assign product ""%1"" to websites ""%2""","לא הייתה אפשרות להקצות את המוצר ""%1"" לאתרים ""%2"""
"Could not save product ""%1"" with websites %2","לא הייתה אפשרות לשמור את מוצר ""%1"" באתרים %2"
"We cannot determine the field name.","אין לנו אפשרות לקבוע את שם השדה."
"Attribute '%1' is locked. %2","התכונה '%1' נעולה. %2"
"Do not change the scope. %1","אל תשנה את הטווח. %1"
"A product type is not defined for the indexer.","סוג המוצר אינו מוגדר עבור בונה האינדקסים."
"Product with SKU %1 is not linked to product with SKU %2","מוצר עם המק""ט %1 לא מקושר למוצר עם המק""ט %2"
Dropdown,"רשימה נפתחת"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1. אינו יורש מ-\Magento\Framework\Filter\Template"
fl,פל
message,הודעה
"Advanced Pricing","תמחור מתקדם"
"Customer Group Price","מחיר קבוצת לקוחות"
"Customer Group","קבוצת לקוחות"
"Special Price From","מחיר מיוחד מ-"
"Product Alerts","התראות מוצר"
"Add Selected","להוסיף שנבחרו"
"Select Attribute","בחר תכונה"
"Create New Attribute","יצירת תכונה חדשה"
"Customizable Options","אפשרויות להתאמה אישית"
"Custom options let customers choose the product variations they want.","אפשרויות מותאמות אישית מאפשרות ללקוחות לבחור את ווריאציות המוצר שהם רוצים."
"Select Product","בחר מוצר"
"Add Value","הוסף ערך"
"Option Type","סוג האפשרות"
"Max Characters","מספר תווים מרבי"
"Compatible File Extensions","סיומות קבצים תואמות"
"Maximum Image Size","גודל תמונה מרבי"
"Please leave blank if it is not an image.","בבקשה השאר ריק אם זה לא תמונה."
"This item has weight","לפריט זה יש משקל"
"This item has no weight","לפריט זה אין משקל"
"Set Product as New From","הגדר מוצר כחדש מ-"
"Related Products, Up-Sells, and Cross-Sells","מוצרים קשורים, קידומי מכירות ומוצרים משלימים"
"Related products are shown to customers in addition to the item the customer is looking at.","מוצרים קשורים מוצגים ללקוחות בנוסף הפריט שהלקוח מסתכל עליו."
"Add Related Products","הוסף מוצרים נלווים"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","פריט בקידומי מכירות מוצע ללקוח כחלופה יקרה יותר או באיכות גבוהה יותר מהמוצר שהלקוח מסתכל עליו."
"Add Up-Sell Products","הוסף מוצר מקודם מכירות"
"Up-Sell Products","מוצרים מקודמי מכירות"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","מוצרי ""דחופי קנייה"" אלו מוצגים ליד עגלת הקניות כמוצרים משלימים לפריטים שכבר בעגלת הקניות."
"Add Cross-Sell Products","להוסיף מוצרים מצולבים"
"Cross-Sell Products","מוצרים מצולבים"
"Schedule Update From","עדכון לוח הזמנים מ-"
"Product in Websites","מוצר באתרים"
name,שם
"Copy Data from","להעתיק נתונים מ-"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","אם אין קטגוריות מותאמות אישית בקטוגריות האב, אנא השתמש בקטגוריה האב כברירת המחדל. ' 'באפשרותך להקצות מחדש את הקטגוריה בכל עת ב-' ' <a href=""%1"" target=""_blank""> מוצרים > קטגוריות</a>."
"This operation can take a long time","פעולה זו יכולה להימשך זמן רב"
"Collapse All","כווץ הכל"
"Expand All","הרחב הכל"
"Please confirm site switching. All data that hasn't been saved will be lost.","אנא אשר את החלפת האתרים. כל הנתונים אשר לא נשמרו יאבדו."
"Manage Titles (Size, Color, etc.)","ניהול כותרות (גודל, צבע, וכו '.)"
"Manage Options (Values of Your Attribute)","נהל אפשרויות (ערכים של התכונה המבוקשת)"
"Sort Option","אפשרות מיון"
"The value of Admin must be unique.","הערך של אדמין חייב להיות ייחודי."
Groups,קבוצות
"Double click on a group to rename it.","לחץ פעמיים על הקבוצה כדי לשנות את השם."
"Unassigned Attributes","תכונות שלא הושמו"
"This group contains system attributes. Please move system attributes to another group and try again.","קבוצה זו מכילה תכונות המערכת. נא להעביר תכונות מערכת לקבוצה אחרת ונסה שוב."
"A name is required.","שם נדרש."
"Please enter a new group name.","אנא הזן שם קבוצה חדשה."
"Sorry, we're unable to complete this request.",". מצטערים, אנחנו לא ניתן להשלים את הבקשה."
"You can't remove attributes from this attribute set.","לא ניתן להסיר תכונות מערכת תכונות זו."
"Custom Options","אפשרויות מותאמות אישית"
"This is a required option.","זה אפשרות נדרשת."
"The field isn't complete.","שדה זה איננו מלא."
"Compatible file extensions to upload","סיומות תואמות להעלאה"
"Maximum image width","רוחב תמונה מקסימלית"
"Maximum image height","גובה תמונה מקסימלית"
"Maximum number of characters:","המספר המרבי של תווים:"
"start typing to search template","התחל להקליד כדי לחפש תבנית"
"Product online","המוצר באופן מקוון"
"Product offline","המוצר במצב לא מקוון"
"Product online status","סטטוס המוצר המקוון"
"Manage Stock","ניהול מלאי"
"Out-of-Stock Threshold","מספר מינימילי של אזל מהמלאי"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בעגלת הקניות"
"Maximum Qty Allowed in Shopping Cart","כמות מרבית המותרת בעגלת הקניות"
"Qty Uses Decimals","כמות משתמשת בנקודה עשרונית"
Backorders,ממתינים
"Notify for Quantity Below","הודעה עבור כמות מתחת"
"Enable Qty Increments","לאפשר כמות בהפרשים קבועים"
"Qty Increments","כמות בהפרשים קבועים"
"Stock Availability","זמינות המלאי"
"In Stock",במלאי
"Out of Stock","אזל מהמלאי"
"Add Product To Websites","הוסף מוצר לאתרים"
"Remove Product From Websites","הסרת מוצר מהאתרים"
"To hide an item in catalog or search results, set the status to ""Disabled"".","כדי להסתיר פריט בקטלוג או בתוצאות החיפוש, הגדר את המצב ""לא פעיל""."
"Delete Custom Option","מחק אפשרות מותאמת אישית"
"Sort Custom Options","מיין אפשריות מותאמות אישית"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>פיקסלים</span>"
"Sort Custom Option","מיין אפשרות מותאמת אישית"
"Item Price","מחיר הפריט"
"and above",ומעלה
"Delete Tier","מחר כמותי"
"Product In Websites","מוצר באתרים"
"(Copy data from: %1)","(העתקת נתונים מ: %1)"
"Browse to find or drag image here","עיין כדי למצוא או גרור תמונה לכאן"
"Delete image","מחק תמונה"
Hidden,מוסתר
"Alt Text","טקסט Alt"
Role,תפקיד
"Image Size","גודל תמונה"
"Image Resolution","רזולוציית תמונה"
"{width}^{height} px","{width} ^{height} פיקסלים"
"Hide from Product Page","הסתר מעמוד מוצר"
"Allow Multiple Boxes for Shipping","אפשר משלוח במספר חבילות"
"start typing to search attribute","התחל להקליד כדי לחפש תכונה"
"Basic Settings","הגדרות בסיסיות"
"Advanced Settings","הגדרות מתקדמות"
"Special Price","מחיר מיוחד"
"Buy %1 for: ","לקנות %1 עבור: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","קנה %1 עבור %2 כל אחד <strong class=""benefit"">וחסוך<span class=""percent tier-%3"">&nbsp;%4%</span></strong>"
"Buy %1 for %2 each","קנה %1 עבור %2 כל אחד"
"Shop By","סנן לפי"
"Shopping Options","אפשרויות סינון"
"Compare Products","השוואת מוצרים"
"Print This Page","הדפס עמוד זה"
"Remove Product","הסר מוצר"
"Add to Wish List","הוספה למועדפים"
"You have no items to compare.","אין לך פריטים להשוואה."
"Remove This Item","הסרת פריט זה"
Compare,השוואה
"Clear All","נקה הכל"
Prev,הקודם
"We can't find products matching the selection.","איננו מסוגלים למצוא מוצרים תואמים את הבחירה."
"Learn More","מידע נוסף"
"Add to Compare","הוסף להשוואה"
"We found other products you might like!","מצאנו מוצרים אחרים שאולי תרצה!"
"More Choices:","אפשרויות נוספות:"
"Check items to add to the cart or","בחר פריטים להוספה לעגלה או"
"select all","בחר הכל"
"Items %1-%2 of %3","פריטים %1-%2 מ%3"
"%1 Item","%1 פריט"
"%1 Items","%1 פריטים"
Show,הצגה
"Sort By","מיון לפי"
"Set Ascending Direction","הגדר מיון בסדר עולה"
"Set Descending Direction","הגדר מיון בסדר יורד"
"View as","הצג כ-"
"More Information","מידע נוסף"
"Warning message","הודעת אזהרה"
"We don't recognize or support this file extension type.","איננו מזהים או תומכים בסוג זה של סיומת קובץ."
"Configure Product","הגדרת המוצר"
OK,אישור
"Select type of option.","בחר את סוג האפשרות."
"Please add rows to option.","נא להוסיף שורות לאפשרות."
"Choose existing category.","בחר קטגוריה קיימת."
